x;y
0.00;155.00
100.00;155.00
200.00;155.00
300.00;155.00
400.00;155.00
500.00;155.00
600.00;154.17
700.00;154.17
800.00;154.17
900.00;154.17
1000.00;155.00
1100.00;155.00
1200.00;155.83
1300.00;155.83
1400.00;155.83
1500.00;155.83
1600.00;154.17
1700.00;149.17
1800.00;146.67
1900.00;149.17
2000.00;154.17
2100.00;182.50
2200.00;232.50
2300.00;299.17
2400.00;382.50
2500.00;471.67
2600.00;561.67
2700.00;655.83
2800.00;755.00
2900.00;851.67
3000.00;957.50
3100.00;1057.50
3200.00;1155.83
3300.00;1260.00
3400.00;1365.00
3500.00;1374.17
3600.00;1374.17
3700.00;1373.33
3800.00;1372.50
3900.00;1372.50